movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20204271,행복의 나라,Land of Happiness,2024,20240814,장편,개봉예정,한국,드라마,한국,드라마
20249188,에이리언: 로물루스,Alien: Romulus,2024,20240814,장편,개봉예정,미국,"공포(호러),SF",미국,공포(호러)
20241924,극장총집편 봇치 더 록! 전편,BOCCHI THE ROCK! Movie Part 1,2024,20240807,장편,개봉예정,일본,애니메이션,일본,애니메이션
20243310,박정희: 경제대국을 꿈꾼 남자 특별판,,2024,20240814,장편,개봉예정,한국,"공연,뮤지컬,드라마",한국,공연
20242344,신비아파트 특별편: 붉은 눈의 사신,Shinbi's Haunted House Special: The Red-Eyed Grim Reaper ,2023,20240814,장편,개봉예정,한국,"애니메이션,어드벤처,판타지",한국,애니메이션
20247781,데드풀과 울버린,DEADPOOL & WOLVERINE,2024,20240724,장편,개봉,미국,"액션,코미디,SF",미국,액션
20241098,극장판 블루 록 -에피소드 나기-,Blue Lock The Movie -Episode Nagi-,2024,20240821,장편,개봉예정,일본,애니메이션,일본,애니메이션
20249554,스픽 노 이블,Speak No Evil,2024,20240911,장편,개봉예정,미국,"스릴러,공포(호러)",미국,스릴러
20240516,풍기,Punggi,2023,20240828,장편,개봉예정,한국,코미디,한국,코미디
20241708,물은 바다를 향해 흐른다,The Water Flows to the Sea,2023,20240807,장편,개봉예정,일본,드라마,일본,드라마
20242021,쥬라기캅스 극장판: 전설의 고대생물을 찾아라,,2024,20240815,장편,개봉예정,한국,애니메이션,한국,애니메이션
20242836,극장판 : 기븐_히이라기 믹스,Movie Given Hiiragi Mix.,2024,20240828,장편,개봉예정,일본,애니메이션,일본,애니메이션
20225969,늘봄가든,SPRING GARDEN,2024,20240821,장편,개봉예정,한국,"공포(호러),스릴러",한국,공포(호러)
20233038,리볼버,Revolver,2023,20240807,장편,개봉예정,한국,범죄,한국,범죄
20247703,바리데기,BARIDEGI: The abandoned girl,2024,20240904,장편,개봉예정,한국,"공포(호러),미스터리",한국,공포(호러)
20233271,땅에 쓰는 시,Poetry on Land,2024,20240417,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20242243,죽고 싶지만 사랑은 하고 싶어,Sometimes I Think About Dying,2023,20240904,장편,개봉예정,미국,"드라마,멜로/로맨스",미국,드라마
20236400,조선인 여공의 노래,A Song of Korean Factory Girls,2024,20240807,장편,개봉예정,한국,다큐멘터리,한국,다큐멘터리
20242541,룩백,Look Back,2024,20240905,장편,개봉예정,일본,애니메이션,일본,애니메이션
20242911,마야,MADA,2024,20240816,장편,개봉예정,베트남,공포(호러),베트남,공포(호러)
20240669,비틀쥬스 비틀쥬스,Beetlejuice Beetlejuice,2024,20240904,장편,개봉예정,미국,"코미디,판타지,공포(호러)",미국,코미디
20239670,베테랑2,"I, THE EXECUTIONER",2024,20240913,장편,개봉예정,한국,"액션,범죄",한국,액션
20231042,빅토리,Victory,2024,20240814,장편,개봉예정,한국,드라마,한국,드라마
20224666,파일럿,Pilot,2023,20240731,장편,개봉,한국,코미디,한국,코미디
